,3L_theta,3R_theta,3L_pi,3R_pi
GHcol,870489.0,952726.0,522127.0,569754.0
GHgam,735458.0,816605.0,538470.0,595453.0
BFgam,1303007.0,1397081.0,545999.0,600311.0
BFcol,1126854.0,1242037.0,529589.0,577963.0
UGgam,1230586.0,1321118.0,543128.0,596927.0
GM,867399.0,945927.0,550725.0,598330.0
GW,1154793.0,1259574.0,558378.0,608367.0
KE,220627.0,237080.0,353424.0,372746.0
CMgam,1645481.0,1767792.0,546319.0,601318.0
FRgam,287884.0,321054.0,360686.0,403933.0
GQgam,609771.0,670849.0,521109.0,569602.0
AOcol,462409.0,489332.0,432775.0,463546.0
GAgam,589337.0,664073.0,497899.0,552784.0
GNgam,1055905.0,1152839.0,546874.0,601463.0
GNcol,499691.0,553950.0,495624.0,547088.0
CIcol,877532.0,980350.0,523408.0,572778.0
