sample_set	location	year	species	chromosome
AG1000G-AO	Luanda	2009	coluzzii	3L
AG1000G-BF-A	Pala	2012	gambiae	3L
AG1000G-BF-A	Bana	2012	coluzzii	3L
AG1000G-BF-A	Souroukoudinga	2012	coluzzii	3L
AG1000G-BF-B	Bana	2014	coluzzii	3L
AG1000G-BF-B	Pala	2014	gambiae	3L
AG1000G-BF-B	Souroukoudinga	2014	gambiae	3L
AG1000G-CD	Gbadolite	2015	gambiae	3L
AG1000G-CI	Tiassale	2012	coluzzii	3L
AG1000G-CM-A	Mayos	2009	gambiae	3L
AG1000G-CM-A	Gado Badzere	2009	gambiae	3L
AG1000G-CM-A	Zembe Borongo	2009	gambiae	3L
AG1000G-CM-A	Daiguene	2009	gambiae	3L
AG1000G-GM-C	Wali Kunda	2012	coluzzii	3L
AG1000G-GN-A	Koundara	2012	gambiae	3L
AG1000G-GN-A	Koraboh	2012	gambiae	3L
AG1000G-GN-B	Koraboh	2012	gambiae	3L
AG1000G-GN-B	Koundara	2012	gambiae	3L
AG1000G-GN-B	Toumani Oulena	2012	gambiae	3L
AG1000G-GN-B	Takan	2012	coluzzii	3L
